,Latitude,Longitude
2,40.57660088143584,-74.09504164788694
3,40.57655335443296,-74.09608191915893
5,40.57660088143584,-74.09504164788694
9,40.609634846680756,-74.16512128986385
19,40.57657341256832,-74.09506680732764
57,40.57660088143584,-74.09504164788694
59,40.57660088143584,-74.09504164788694
61,40.57660088143584,-74.09504164788694
80,40.57657341256832,-74.09506680732764
83,40.62636829552581,-74.11989394960833
87,40.56258485050479,-74.1114729027468
91,40.57559551183841,-74.09596894945328
92,40.57660088143584,-74.09504164788694
98,40.57680691113783,-74.09483675233119
109,40.57559551183841,-74.09596894945328
113,40.57660088143584,-74.09504164788694
126,40.57680691113783,-74.09483675233119
128,40.57680691113783,-74.09483675233119
132,40.57680691113783,-74.09483675233119
187,40.57559551183841,-74.09596894945328
190,40.57559551183841,-74.09596894945328
196,40.577112962127416,-74.09647870423986
197,40.57663558098475,-74.0962224293725
204,40.59068827371207,-74.15871226074847
210,40.57680691113783,-74.09483675233119
214,40.57680691113783,-74.09483675233119
217,40.57680691113783,-74.09483675233119
240,40.57657341256832,-74.09506680732764
248,40.576433317379454,-74.09519979986445
255,40.57660088143584,-74.09504164788694
258,40.57660088143584,-74.09504164788694
269,40.57559551183841,-74.09596894945328
272,40.53557351749494,-74.14763752402189
281,40.62828094299582,-74.14851628689473
290,40.57660088143584,-74.09504164788694
295,40.576545940715555,-74.09509556653155
296,40.57680691113783,-74.09483675233119
304,40.57680691113783,-74.09483675233119
317,,
328,40.57680691113783,-74.09483675233119
329,40.57651572703424,-74.09512072202041
355,40.56258485050479,-74.1114729027468
360,40.57660088143584,-74.09504164788694
383,40.58115277085189,-74.1587472013903
394,40.57680691113783,-74.09483675233119
409,40.57680691113783,-74.09483675233119
418,40.57651572703424,-74.09512072202041
433,40.57651572703424,-74.09512072202041
454,40.57752497507824,-74.0961301148111
461,40.63570055353156,-74.162404283046
520,40.56258485050479,-74.1114729027468
542,40.57100614288236,-74.11944543009777
545,40.57100614288236,-74.11944543009777
563,40.63574172526945,-74.16240438324421
570,40.625591417156194,-74.11461138501308
579,40.57660088143584,-74.09504164788694
588,40.63574172526945,-74.16240438324421
591,40.6083498292022,-74.16543504420379
658,40.62368626452607,-74.1148782884222
